Title,Authors
A Hybrid Discrete Artificial Bee Colony Algorithm Based on Label Similarity for Solving Point-Feature Label Placement Problem.,"Wen Cao,Yong Zhang,Jiaqi Xu,Siqi Zhao,Chu Xu,Xiaofeng Wu"
Research on Approximate Spatial Keyword Group Queries Based on Differential Privacy and Exclusion Preferences in Road Networks.,"Jing Li,Liping Zhang,Song Li"
"Optimization and Simulation of Mountain City Land Use Based on MOP-PLUS Model: A Case Study of Caijia Cluster, Chongqing.","Minghui Xue,Yuqing Zhong,Xiaoxiang Zhang,Yanfei Yang"
Parallel Channel Identification and Elimination Method Based on the Spatial Position Relationship of Different Channels.,"Mingwei Zhao,Ni Wang,Xiaoxiao Ju,Yan Xu,Chun Wang,Weibo Zeng"
Archaeological Predictive Modeling Using Machine Learning and Statistical Methods for Japan and China.,"Xiaodan Shi,Takashi Oguchi,Yuan Wang"
Provenance in GIServices: A Semantic Web Approach.,"Hao Li,Zhaoyan Wu,Peng Yue"
A Management Method of Multi-Granularity Dimensions for Spatiotemporal Data.,"Wen Cao,Feilin Peng,Yuzhen Tian,Xiaochong Tong,Jingwen Zhu,Jianfei Wang,Wenhao Liu"
Multi-Scale Road Matching Based on the Summation Product of Orientation and Distance and Shape Descriptors.,"Kaizhong Yao,Ying Sun,Jing Li,Qiao Wen,Yanru Liu,Ziqi Ding,Yuefeng Lu"
The Spatial Structure and Driving Mechanisms of Multi-Source Networks in the Chengdu-Chongqing Economic Circle of China.,"Zibao Pan,Xueman Zuo,Ziyi Wu,Cheng Chen,Ludan Zhang,Xisheng Hu"
Application of AHP-ICM and AHP-EWM in Collapse Disaster Risk Mapping in Huinan County.,"Jie Wang,Yichen Zhang,Huanan Liu,Jiquan Zhang,Chenglong Yu,Yanan Chen,Zengkang Lu"
Classification of Seismaesthesia Information and Seismic Intensity Assessment by Multi-Model Coupling.,"Qingzhou Lv,Hui Yang,Yuan Tao,Mengjiao Wang,Ran Li,Wanzeng Liu"
HMM-Based Map Matching and Spatiotemporal Analysis for Matching Errors with Taxi Trajectories.,"Lin Qu,Yue Zhou,Xinguo Jiang,Qiong Yu,Jiangxin Li"
"A Novel Method of Modeling Grassland Wildfire Dynamics Based on Cellular Automata: A Case Study in Inner Mongolia, China.","Guozhou Wu,Shuai Zhang,Yan Li,Beidou Nie,Zhenjie Chen,Manchun Li"
"Evaluation of SMAP-Enhanced Products Using Upscaled Soil Moisture Data Based on Random Forest Regression: A Case Study of the Qinghai-Tibet Plateau, China.","Yijia Xie,Changqing Huang,Jia Chen,Wen Zhang,Junjie Li,Fengmin Hu,Lingkui Meng"
"Virtual Scene Construction of Wetlands: A Case Study of Poyang Lake, China.","Chaoyang Fang,Xin Xiao,Sheng Lu"
A Heuristic Approach for Resolving Spatial Conflicts of Buildings in Urban Villages.,"Yilang Shen,Wende Li,Xiaomin Lu,Haowen Yan"
"The Spatial Association between Residents' Leisure Activities and Tourism Activities Using Colocation Pattern Measures: A Case Study of Nanjing, China.","Mingxing Hu,Jiemin Zheng,Feifei Xu,Hui Wang,Junheng Qi,Bing Han"
A Multi-Objective Roadside Unit Deployment Model for an Urban Vehicular Ad Hoc Network.,"Yong Wang,Jiajian Li,Zihui Zhang,Jing Ma,Liangjie Yu"
Matrix-Analytic Methods for Solving Poisson's Equation with Applications to Markov Chains of GI/G/1-Type.,"Yuanyuan Liu,Jinpeng Liu,Yiqiang Q. Zhao"
Extreme Ratio Between Spectral and Frobenius Norms of Nonnegative Tensors.,"Zhening Li,Shengyu Cao,Simai He,Zhen Wang"
Blockchain-inspired lightweight trust-based system in vehicular networks.,"El Mehdi Amhoud,Mustapha Hedabou,Gulshan Kumar,Celestine Iwendi,Sandeep Kumar Arora"
Learning-driven ubiquitous mobile edge computing: Network management challenges for future generation Internet of Things.,"Praveen Kumar Donta,Ilir Murturi,Chinmaya Kumar Dehury,Edmundo Monteiro"
EM-Patroller: Entropy Maximized Multi-Robot Patrolling With Steady State Distribution Approximation.,"Wei-Yun Yau,Marcelo H. Ang,Daniela Rus,Qi Kang,Hongliang Guo"
H$,"Zehuan Yu,Hanwen Zhang,Boyu Zhou,Peize Liu,Hui Cheng,Shaojie Shen,Chenxing Jiang"
Wheel-SLAM: Simultaneous Localization and Terrain Mapping Using One Wheel-Mounted IMU.,"Lasse Klingbeil,Jian Kuang,Yibin Wu,Heiner Kuhlmann,Xiaoji Niu,Jens Behley"
Mask4D: End-to-End Mask-Based 4D Panoptic Segmentation for LiDAR Sequences.,"Cyrill Stachniss,Elias Marks,Louis Wiesmann,Rodrigo Marcuzzi,Lucas Nunes,Jens Behley"
Safety Barrier Certificates for Path Integral Control: Safety-Critical Control of Quadrotors.,"Jian Di,Xinghu Wang,Tao Jin,Haibo Ji"
Data-Driven Steering of Concentric Tube Robots in Unknown Environments via Dynamic Mode Decomposition.,"Mohsen Khadem,Balint Thamo,David Hanley,Kevin Dhaliwal"
Flexible Tactile-Sensing Gripper Design and Excessive Force Protection Function for Endovascular Surgery Robots.,"Jianmin Liu,Chuqiao Lyu,Yongwei Zhang,Pengfei Yang,Yongxin Zhang,Shuxiang Guo,Yonggan Yan"
